,StudyTitle
,StudyID
,Subject_No
,Randomised
,RandomisedExt
,RandomisationNo
,DoseGroup
report,DoseGroupNo
,LocationName
,DateofVisit1
,TimeofVisit1
,InformedConsent
,DateInformedConsent
,TimeInformedConsent
,TimeToStart
,DOB
report,Age
,Sex
report,Ethnicity
,SpecifyOther
report,SmokingCurrent
,SmokingCurrent
,PastSmokerQuit date
,Alcoholconsumption
report,AlcoholUnitsPerWeek
,ConcomMedsSupp
,MedSurgHist
,IntoleranceToIron
,UpperGIDesc
,LowerGIDisc
,FastingBlood
,IDorIDAGroup
report,IronSc
report,UIBCSc
report,TIBCSc
report,TSATSc
report,FerritinSc
report,WCCSc
report,RCCSc
report,HbSc
report,HCTSc
report,MCVSc
report,MCHSc
report,MCHCSc
report,RDWSc
report,PlatSc
report,NeutSc
report,LymphSc
report,MonoSc
report,EosinoSc
report,BasoSc
report,WgtSc
report,HgtSc
report,BMISc
report,TempSc
report,SBPSc
report,DBPSc
report,HRSc
,ContraceptionSc
,ContraceptionType
,ContraceptionOther
,The survey includes questions about how you have felt in the past week. Select the option that best fits you and your situation._263527
,GSRSPainDiscSc
,GSRSHeartburnSc
,GSRSRefluxSc
,GSRSSuckSc
,GSRSNausVomSc
,GSRSRumbSc
,GSRSBloatGasSc
,GSRSBurpBelchSc
,GSRSFlatSc
,GSRSConstipSc
,GSRSDiarrhoeaSc
,GSRSLooseStoolsSc
,GSRSHardStoolsSc
,GSRSUrgenDefaecSc
,GSRSIncompleteEmptyingSc
report,GSRSScoreSc
,"To be considered eligible for enrollment into the study, subjects must;_263499"
,"1.	Be able to give written informed consent,_263502"
,"2.	Be between 18 and 55 years of age,_263503"
,"3.	Be in generally good health as determined by the investigator,_263504"
,"4.	Have mild to moderate anaemia (haemoglobin ≥9.5 g/dL and <12.0 g/dL for females and ≥10.0  g/dL and <13.0 g/dL for males, up to 30 patients) or no anaemia (up to 30 patients), _263500"
,5.	Have ferritin levels <30 μg/L:_263501
,6.	Have a history of intolerance to oral iron._263505
,Subjects will be excluded from the study if they meet any of the below criteria:_263506
,1.	A history of dairy allergy or are hypersensitive to any of the components of the test product:_263507
,"2.	Are currently taking any iron supplements, or have done so in the previous 2 weeks:_263508"
,3.     Has Crohn's Disease or Ulcerative Colitis:	_263509
,4.	Severe anaemia (females with haemoglobin <9.5 g/dL and males with haemoglobin <10.0 g/dL):_263510
,5.	Females that have started menopause:_263511
,6. Females using extended‐cycle birth control pills (as these can alter menstrual cycle): _263512
,"7.	Have a significant acute or chronic, unstable and untreated disease or any condition, which contraindicates, in the investigators judgement, entry to the study:_263513"
,"8.	Having a condition or have taken a medication that the investigator believes would interfere with the objectives of the study, pose a safety risk or confound the interpretation of the study results; for example, no concurrent medication which interferes with the absorption of iron (e.g. tetracyclines, calcium supplements and proton pump inhibitors)_263514"
,"9.	Individuals who, in the opinion of the investigator, are considered to be poor attendees or unlikely for any reason to be able to comply with the trial:_263515"
,"10.	Subjects may not be receiving treatment involving experimental drugs. If the subject has been in a recent experimental trial, these must have been completed not less than 30 days prior to this study:_263516"
,11. Have a malignant disease or any concomitant end-stage organ disease:_399177
,For the Investigator _263524
,Documentation for the Subject _263525
,Verbal Instructions for the Subject _263526
,Visit 2
,Date of Visit:_263546
report,DaysSinceSc
,Has the subject experienced any non-treatment emergent events (or changes in any existing medical conditions)  since the last visit? _263548
,Has the subject changed their medications/supplements consumption since the last visit?_263549
,Is the subject still eligible for the study based on a review of the inclusion and exclusion criteria?_263550
report,TempV2
report,SBPV2
report,DBPV2
report,HRV2
report,WgtV2
report,BMIV2
,Is the subject of child bearing potential?_263608
,"If No, please select the reason from the following options:_263609"
,"If other, please specify:_263610"
,"If Yes, was a urine pregnancy test performed?_263611"
,"If No, indicate the reason and complete End of Study Form: _263612"
,Date of test:_263613
,Result of test:_263614
,Has there been any changes to the contraception method since the last visit?_263615
,"If Yes, please specify the contraceptive method used:_263616"
,Has the participant had a fasting blood sample taken?_263607
report,IronV2
report,UIBCV2
report,TIBCV2
report,TSATV2
report,FerritinV2
report,WCCV2
report,RCCV2
report,HbV2
report,HCTV2
report,MCVV2
report,MCHV2
report,MCHCV2
report,RDWV2
report,PlatV2
report,NeutV2
report,LymphV2
report,MonoV2
report,EosinoV2
report,BasoV2
,SF-36 Questionnaire
,1SFGenHealthV2
,2SFHealthVsLyV2
,"3. The following questions are about activities you might do during a typical day. Does your health now limit you in these activities? If so, how much? _263620"
,3SFVigActV2
,3SFModActV2
,3SFLiftingV2
,3SFSeveralStairsV2
,3SFOneStairsV2
,3SFBendingV2
,3SFWalkingMileV2
,3SFWalkingHundsYardsV2
,3SFWalking100YardsV2
,3SFBathingV2
,"4. During the past 4 weeks, how much of the time have you had any of the following problems with your work or other regular daily activities as a result of your physical health? _263631"
,4SFCutWorkV2
,4SFAchievedLessV2
,4SFLimitedinWorkV2
,4SFDifficultyWorkV2
,"5. During the past 4 weeks, how much of the time have you had any of the following problems with your work or other regular daily activities as a result of any emotional problems (such as feeling depressed or anxious)? _263636"
,5SFCutWorkV2
,5SFAccomplishedlessV2
,5SFLessCarefulV2
,6SFSocialActivitiesIntereferedV2
,7SFPainV2
,8SFPainInterfereWorkV2
,"9. These questions are about how you feel and how things have been with you during the past 4 weeks. For each question, please give the one answer that comes closest to the way you have been feeling. How much of the time during the past 4 weeks... _263643"
report,9SFFulloflifeV2
,9SFNervousV2
,9SFDownInDumpsV2
,9SFCalmPeacefulV2
report,9SFEnergyV2
,9SFDownDepressedV2
report,9SFWornOutV2
,9SFHappyV2
report,9SFTiredV2
,10SFHealthImpactSocialV2
,11. How TRUE or FALSE is each of the following statements for you? _263654
,11SFSickEasierV2
,11SFAsHealthyAsAnyoneV2
,11SFExpectHealthWorseV2
,11SFHealthExcellentV2
,This survey includes questions about how you felt when taking oral iron products in the past. Please select the option which best fit you and your situation at that time. _263565
,GSRSPainDiOProdsOProds
,GSRSHeartburnOProds
,GSRSRefluxOProds
,GSRSSuckOProds
,GSRSNausVomOProds
,GSRSRumbOProds
,GSRSBloatGasOProds
,GSRSBurpBelchOProds
,GSRSFlatOProds
,GSROProdsonstipOProds
,GSRSDiarrhoeaOProds
,GSRSLooseStoolsOProds
,GSRSHardStoolsOProds
,GSRSUrgenDefaecOProds
,GSRSIncompleteEmptyingOProds
report,GSRSOtherProds
,The survey includes questions about how you have felt in the past week. Select the option that best fits you and your situation. _263582
,GSRSPainDiV2V2
,GSRSHeartburnV2
,GSRSRefluxV2
,GSRSSuckV2
,GSRSNausVomV2
,GSRSRumbV2
,GSRSBloatGasV2
,GSRSBurpBelchV2
,GSRSFlatV2
